"site_code","one_week_date","Log10_NoV_norm","Easting","Northing","weighted_carehome_density","weighted_school_density","weighted_prop_non_white","prop_urb","lockdown_lifting","lockdown_step3","lockdown_step4","lockdown_planB","weighted_mobility","weighted_imd_score","weighted_imd_rank","rain_rolling_7day","temp_rolling_7day"
"UKENAN_AW_TP000016","2021-05-24",NA,508487,249332,45.6378704729982,76.5611432807784,0.285790427438178,0.451289326046554,0,1,0,0,-18.8264538970736,18.3243945515468,12372.691125402,1.24686142857143e-05,282.415466471429
"UKENAN_AW_TP000023","2021-05-24",NA,535699,340996,22.6120576473583,83.961991804697,0.0633826874716469,0.44278028316764,0,1,0,0,-2.6709269735277,18.4197431588764,9646.52003489243,4.72261428571426e-06,281.988576985714
"UKENAN_AW_TP000037","2021-05-24",NA,493847,268578,46.1211342748525,102.14678124357,0.130760913096018,0.469652264104324,0,1,0,0,-19.1776614299336,19.1462177179421,15113.8098253374,1.33637571428573e-05,282.229484185714
"UKENAN_AW_TP000050","2021-05-24",NA,547187,261751,14.6744171279478,65.0998724029525,0.239571149428471,0.535729004445361,0,1,0,0,-33.4246781325519,11.2434136431397,14865.280803064,1.04257571428573e-05,282.306309214286
"UKENAN_AW_TP000051","2021-05-24",NA,502806,226864,18.1453508335881,67.2920499179938,0.542072957339959,0.608235937315321,0,1,0,0,-14.7907522632005,23.9750189294252,11857.4831929867,2.99338999999999e-05,282.268999942857
"UKENAN_AW_TP000055","2021-05-24",NA,573806,206725,12.7405888171877,77.7176883225606,0.139765582229655,0.435855357573084,0,1,0,0,-25.682980120249,11.3906665010068,20610.1562466853,6.03247142857152e-06,282.201886542857
"UKENAN_AW_TP000063","2021-05-24",NA,602226,223615,34.0513086506166,65.9544160607944,0.158600042328549,0.612357017693693,0,1,0,0,-26.7086772580649,14.9651284265701,13983.2310650717,1.89539e-05,282.183023628571
"UKENAN_AW_TP000069","2021-05-24",NA,488411,240500,15.4534364892267,76.1304035391301,0.305273650759882,0.525628928221041,0,1,0,0,-24.5386352809718,17.3408471931989,15206.2320421781,1.70734714285715e-05,282.443781885714
"UKENAN_AW_TP000082","2021-05-24",NA,560459,304206,36.2129416061081,57.6431751697766,0.0412530235959829,0.272486923741571,0,1,0,0,-8.1751348286643,12.6477286977577,8184.59165620097,2.06746142857144e-05,282.099205214286
"UKENAN_AW_TP000107","2021-05-24",NA,481616,261993,31.4981550270299,76.5205692286566,0.202039383496,0.417050818148881,0,1,0,0,-23.3498089894686,21.6183434259525,14178.8699773285,1.55496142857143e-05,282.318811871429
"UKENAN_AW_TP000115","2021-05-24",NA,651859,311135,32.3383600397079,88.7656774565589,0.0617504191093075,0.421688203279163,0,1,0,0,-17.2505764977316,36.3842642923901,7940.24833795209,2.26144142857141e-05,281.2072923
"UKENAN_AW_TP000116","2021-05-24",NA,526212,410959,31.9885858034039,112.665325232369,0.0427785631923781,0.358140252500216,0,1,0,0,-13.1299312966507,34.0204048808742,8735.59626030507,8.6606285714286e-06,281.662022457143
"UKENAN_AW_TP000144","2021-05-24",NA,617466,241968,17.9732343926963,72.8236832174763,0.150367322051743,0.577459917690183,0,1,0,0,-23.3209640041304,22.3881390857311,15619.3333410297,1.58453285714285e-05,282.0373568
"UKENAN_AW_TP000148","2021-05-24",NA,614064,214273,58.9340434392918,70.7529936265991,0.0447581412274976,0.615104283803887,0,1,0,0,-16.8571428571429,48.0612305398683,4118.13743605076,2.26810428571429e-05,282.127531271429
"UKENAN_AW_TP000154","2021-05-24",NA,560275,322372,27.6449759487538,104.387573388138,0.0788962911035712,0.309586586530037,0,1,0,0,-8.14351277682445,26.2940735716858,11854.659600263,2.41504857142856e-05,281.951047071429
"UKENAN_AW_TP000161","2021-05-24",NA,499884,370410,28.6281022281474,84.0057517130447,0.075070962207328,0.457699687222805,0,1,0,0,-14.5182308214902,23.8758297151287,12339.8233270455,8.83618571428585e-06,282.056090042857
"UKENAN_AW_TP000170","2021-05-24",NA,653429,297861,33.345571693462,84.1781904303215,0.0326042276345956,0.598076701251869,0,1,0,0,-16.1644910885065,31.3379519713023,11387.1915111998,1.97556142857142e-05,281.264683671429
"UKENAN_AW_TP000200","2021-05-24",NA,627841,307418,26.9208420014824,82.0528352582298,0.10018276894455,0.501019449896195,0,1,0,0,-20.7429789936455,20.4419205558905,15473.783232658,1.66683285714284e-05,281.556050257143
"UKENAN_AW_TP000210","2021-05-24",NA,521980,298342,18.3825627358768,78.8439611739821,0.25279559540548,0.412568134046874,0,1,0,0,-17.7253969773796,25.0083969651375,10563.5303232208,4.32061428571425e-06,282.279539271429
"UKENAN_AW_TP000293","2021-05-24",NA,545869,314163,21.9779727741058,114.616459426476,0.0394955404117173,0.158708473889867,0,1,0,0,-15.5665699568854,31.6784874719994,8117.48859743257,1.39246142857143e-05,282.115003871429
"UKENAN_AW_TP000303","2021-05-24",NA,573699,190651,15.7320664099379,82.0684527014993,0.156879909948503,0.511264420070582,0,1,0,0,-22.6118837459918,26.9959390386459,9852.65760674303,6.05389999999993e-06,282.463695714286
