"","Fold","MSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.3578,0.4699,9.689,-0.0414,0.8457,0.5667,89.1051
"2",2,0.4982,0.5486,12.3219,0.0881,4.1283,0.3742,79.2411
"3",3,0.4889,0.5531,11.2056,-0.1015,0.0677,0.345,80.303
"4",4,0.4541,0.5277,10.8048,-0.1176,-0.2034,0.4665,84.8921
"5",5,0.3629,0.457,9.5481,0.1139,3.6789,0.3832,85.2713
"6",6,0.8087,0.7152,15.3172,-0.0651,1.5779,0.0282,60.6383
"7",7,0.475,0.5286,10.8772,-0.1254,-0.4303,0.4473,81.5436
"8",8,0.514,0.5633,12.5524,0.0149,2.7747,0.3556,84.5938
"9",9,0.7085,0.639,15.7557,0.2857,9.6005,0.3645,70.8108
"10",10,0.3656,0.4713,9.6803,-0.0981,-0.3686,0.5129,85.1964
