"","Fold","MSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.3575,0.4698,9.6869,-0.0414,0.8449,0.5674,89.1051
"2",2,0.4982,0.5485,12.3201,0.088,4.1266,0.3747,79.2411
"3",3,0.4888,0.5531,11.2039,-0.1018,0.0619,0.3453,79.3939
"4",4,0.4538,0.5274,10.7982,-0.1176,-0.2036,0.4671,83.8129
"5",5,0.3629,0.457,9.5481,0.1139,3.6791,0.3833,84.8837
"6",6,0.8083,0.715,15.3141,-0.0652,1.5772,0.0282,59.2199
"7",7,0.4751,0.5285,10.8768,-0.1255,-0.432,0.4463,80.8725
"8",8,0.5139,0.5632,12.5514,0.015,2.7774,0.3557,83.4734
"9",9,0.7083,0.6388,15.7511,0.2856,9.5971,0.3641,70.5405
"10",10,0.3656,0.4712,9.6773,-0.0985,-0.3772,0.5125,85.1964
