"","Fold","MSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.3576,0.4699,9.6882,-0.0413,0.848,0.5674,89.1051
"2",2,0.4985,0.5488,12.326,0.088,4.1266,0.374,79.2411
"3",3,0.4888,0.5531,11.2039,-0.1018,0.0618,0.3454,79.3939
"4",4,0.4538,0.5274,10.7982,-0.1176,-0.2037,0.4671,83.8129
"5",5,0.3629,0.457,9.5478,0.1139,3.6789,0.3835,84.8837
"6",6,0.8083,0.715,15.3141,-0.0652,1.5771,0.0282,59.2199
"7",7,0.4751,0.5285,10.8768,-0.1255,-0.4322,0.4463,80.8725
"8",8,0.5139,0.5632,12.5514,0.015,2.7774,0.3557,83.4734
"9",9,0.7084,0.6389,15.7523,0.2856,9.598,0.3641,70.5405
"10",10,0.3656,0.4712,9.6781,-0.0984,-0.3745,0.5125,85.1964
