"","Fold","MSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.2817,0.4167,8.5436,-0.0217,0.886,0.6114,92.233
"2",2,0.4209,0.5093,11.2626,0.0943,3.8026,0.4032,81.7877
"3",3,0.4116,0.5054,10.1798,-0.099,-0.2337,0.3651,81.8457
"4",4,0.3746,0.4899,9.8445,-0.1175,-0.6,0.5054,85.8423
"5",5,0.2999,0.4218,8.7054,0.1095,3.3157,0.4399,88.1905
"6",6,0.7337,0.6785,14.4023,-0.0589,1.3245,0.0489,61.6608
"7",7,0.3831,0.4861,9.738,-0.1397,-1.1894,0.4747,84.0604
"8",8,0.4182,0.5078,11.1613,0.0276,2.5311,0.3874,85.5153
"9",9,0.6036,0.5951,14.4099,0.2827,8.9068,0.3959,73.5849
"10",10,0.2836,0.4204,8.5168,-0.0936,-0.6594,0.5629,90.2883
