"","Fold","MSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.3578,0.4699,9.6895,-0.0413,0.8474,0.5668,89.1051
"2",2,0.4983,0.5487,12.3234,0.088,4.1269,0.3739,79.2411
"3",3,0.4889,0.5531,11.2057,-0.1016,0.0655,0.345,80.303
"4",4,0.4542,0.5277,10.8042,-0.1175,-0.2013,0.4664,84.8921
"5",5,0.3626,0.4568,9.544,0.1138,3.6761,0.3834,85.2713
"6",6,0.8087,0.7152,15.3171,-0.0651,1.5778,0.0282,60.6383
"7",7,0.475,0.5285,10.8771,-0.1253,-0.4296,0.4463,81.5436
"8",8,0.514,0.5633,12.5526,0.0149,2.7749,0.3556,84.5938
"9",9,0.7084,0.639,15.7554,0.2857,9.5986,0.3646,70.8108
"10",10,0.3656,0.4713,9.6801,-0.0985,-0.3779,0.5134,85.1964
