"","Fold","MSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.28,0.4112,8.4639,-0.0131,1.0671,0.6197,93.2039
"2",2,0.4246,0.5123,11.3257,0.0872,3.6712,0.3924,86.0335
"3",3,0.4087,0.4999,10.0726,-0.0948,-0.1621,0.3645,85.7791
"4",4,0.3682,0.4846,9.7425,-0.1167,-0.5924,0.5248,91.0394
"5",5,0.3126,0.4358,8.9821,0.1073,3.3317,0.397,91.0476
"6",6,0.748,0.6771,14.3765,-0.0816,0.9293,0.033,70.4947
"7",7,0.4274,0.5199,10.3615,-0.1591,-1.6184,0.4246,86.4094
"8",8,0.4136,0.5049,11.0576,0.0171,2.2681,0.395,88.1616
"9",9,0.5876,0.5745,13.8755,0.2557,8.2397,0.3925,80.4582
"10",10,0.2974,0.4294,8.7157,-0.0909,-0.5601,0.5257,93.0197
