"","Fold","MSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.3582,0.4701,9.6927,-0.0415,0.8436,0.5667,89.1051
"2",2,0.5019,0.5517,12.3859,0.0918,4.2159,0.3598,85.4911
"3",3,0.4891,0.5533,11.2081,-0.1021,0.0571,0.345,80.303
"4",4,0.458,0.528,10.8233,-0.1085,-0.0192,0.4462,89.9281
"5",5,0.3626,0.4574,9.5511,0.1107,3.6252,0.3912,91.0853
"6",6,0.814,0.7173,15.3891,-0.0621,1.6706,0.0071,70.922
"7",7,0.4777,0.5281,10.865,-0.1285,-0.4844,0.4507,86.9128
"8",8,0.5188,0.5616,12.5435,0.0162,2.8296,0.3495,86.2745
"9",9,0.7085,0.6392,15.7582,0.2857,9.5994,0.3645,70.8108
"10",10,0.359,0.4658,9.5778,-0.0987,-0.3757,0.5262,92.145
