"","Fold","MSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.281,0.4162,8.5388,-0.0211,0.8968,0.6127,92.4272
"2",2,0.4213,0.5091,11.2547,0.0929,3.7745,0.4011,80.6704
"3",3,0.4096,0.5035,10.1479,-0.0973,-0.2029,0.3702,81.8457
"4",4,0.3765,0.491,9.8655,-0.1185,-0.6134,0.5024,86.7384
"5",5,0.3013,0.4221,8.7137,0.1095,3.3183,0.4371,88.5714
"6",6,0.7335,0.6794,14.4158,-0.0586,1.3289,0.0491,61.1307
"7",7,0.3829,0.4862,9.739,-0.1394,-1.1845,0.4734,84.0604
"8",8,0.4197,0.5096,11.1967,0.0268,2.5171,0.383,83.7047
"9",9,0.6082,0.5979,14.4783,0.285,8.9681,0.392,73.1806
"10",10,0.2852,0.4215,8.542,-0.0927,-0.6383,0.5581,89.9848
