"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.335581458644156,0.579293931130093,0.463493303490921,9.4247210284202,-0.021761949324107,-0.425296846094136,0.418852543307749,22.0339
"2",2,0.672471053204576,0.820043323980249,0.637372445509197,12.6462437022786,-0.108023399441072,-2.0760586662071,0.0906026901251559,16.9118
"3",3,0.349158462677754,0.590896321428517,0.459474543039208,9.60780722549894,0.0456401671421823,0.890319228600335,0.462952250982792,25.2055
"4",4,0.5138865912693,0.716858836361316,0.558039597785976,13.0227485398729,0.269932621671641,5.68596598625926,0.474746519181658,19.4226
"5",5,0.549211239324015,0.74108787557483,0.582250858127861,12.7819631758352,0.143712120393287,2.87150034026829,0.348189542110965,21.0526
"6",6,0.361851871008529,0.601541246306959,0.481385343534507,9.33506963839735,-0.12639830962903,-2.41877871620329,0.424900401171588,24.3243
"7",7,0.3954640932214,0.628859358856493,0.494633510961566,10.2288651239447,0.0123939173969222,0.24348104438311,0.192757333112261,24.3151
"8",8,0.493836571442005,0.702735064901422,0.572521366102284,12.5438870778075,0.325496526079955,6.51460177349802,0.355384052920813,17.8082
"9",9,0.379308059625301,0.615879906820559,0.493096056440105,9.02250766038936,-0.295610681968154,-5.46336913712303,0.429709043182202,26.5487
"10",10,0.348601915700777,0.590425199073326,0.464849043647567,9.02263677887461,-0.0978445174145218,-1.81974748572458,0.272250678997104,27.7592
