MAE,RMSE,Bias,Correlation,Model,Fold,Coverage
0.5856227274485281,0.7423855861348239,0.16312383820304577,0.4387981778482864,BRMS,1,0.9235474006116208
0.5772467636339734,0.7272943596165314,-0.19463238046972886,0.3068353431869765,BRMS,2,0.9240121580547113
0.4813053654498972,0.6157246476445207,-0.06695204024629699,0.49418171193689603,BRMS,3,0.9692307692307692
0.4872090959476006,0.6696326313295992,-0.08479124861930473,0.4658279773350825,BRMS,5,0.9387096774193548
0.5589044188732405,0.7242106215612334,0.20124442605903764,0.2591607664481867,BRMS,6,0.911042944785276
0.49718756133184644,0.655450302749557,0.003158017397953568,0.5094846311508633,BRMS,7,0.9602649006622517
0.5892624349671955,0.743158500962761,-0.03533554664559127,0.3032665447902936,BRMS,8,0.9052287581699346
0.5994360874358948,0.7343237645029369,0.1354221235684133,0.37394724389850276,BRMS,9,0.934640522875817
0.6227075057993564,0.7835944176309732,0.007370599017899327,0.3613422953957164,BRMS,10,0.8852459016393442
