"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR"
"1",1,0.301860407480603,0.549418244582943,0.432865897343399,8.86379042233106,-0.0279260319622971,-0.547186384968819,0.568029920612668
"2",2,0.428917407097108,0.654917862863052,0.512198690063676,11.4203385426744,0.137475983706007,2.78994461092593,0.405258134912664
"3",3,0.385598825657766,0.620966042274266,0.48504443503162,9.72952566220452,-0.0789580290721813,-1.50070958897999,0.40097691022109
"4",4,0.374784961831849,0.612196832588873,0.503648739808489,10.0432330040924,-0.149277668127998,-2.84413391512467,0.515620917130878
"5",5,0.30856937530862,0.5554902117127,0.431119041007987,8.90309388822086,0.106740754960812,2.07084077630111,0.440697657471415
"6",6,0.607249446880363,0.779262116928805,0.623531150694763,13.2711674031865,-0.0655600211658949,-1.3338151254765,0.14169112276665
"7",7,0.340352584968136,0.583397450258514,0.447464376896552,8.99723260370734,-0.107302008598947,-2.06118022934222,0.533066507341666
"8",8,0.416529910788009,0.645391285026386,0.520309534982286,11.2102616054595,-0.0659959237357955,-1.33756664894092,0.405668453991499
"9",9,0.5580152855129,0.747004207158768,0.576643178375748,13.6973253231425,0.173744018440563,3.69702628070865,0.387156956861612
"10",10,0.330666685733448,0.575036247321373,0.455286897163202,9.14003375987068,-0.130090009928278,-2.55507386966706,0.45661685807878
