"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.313088633137766,0.55954323616479,0.443032778120362,8.92547553399064,-0.0853977877911842,-1.67329561352936,0.547644761648316,45.4369
"2",2,0.484790806257937,0.696269205306351,0.544315998258099,12.0920145071477,0.149688563570237,3.03778732831703,0.33527868028082,35.419
"3",3,0.393748410117354,0.627493753050462,0.485987371411066,9.62957691353609,-0.0987990690212776,-1.87781675916687,0.379158425914044,40.2421
"4",4,0.378346017667977,0.615098380479072,0.496125869856154,9.81606857384882,-0.170177077801855,-3.24232287804802,0.495992771560797,35.3047
"5",5,0.347821210232842,0.589763690161442,0.464448788017588,9.49012796366971,0.0871647844407161,1.69105408654455,0.340481214183705,41.1429
"6",6,0.675956326113534,0.822165631800268,0.655402636568688,13.838009265718,-0.0817196366569143,-1.6625816386731,0.132656848400708,29.1519
"7",7,0.407775550066604,0.638573057736234,0.494732105200946,9.8500964931095,-0.145414956654813,-2.79329751251738,0.4366718650057,43.4564
"8",8,0.494127952977631,0.702942353950614,0.578071413246518,12.3764005645774,-0.0897766227409846,-1.81953989936746,0.295303237211932,34.4011
"9",9,0.541230530822081,0.735683716567168,0.572060990670921,13.3840813183826,0.123216079905615,2.62186341553272,0.422009068437369,36.5229
"10",10,0.346636422676753,0.588758373763595,0.467203495205601,9.3155026881659,-0.175774358038363,-3.45235171731429,0.472337720503498,42.1851
