"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR"
"1",1,0.338828333273077,0.58208962649499,0.458548308019198,9.48773530449556,0.00067076434432217,0.0131430457872124,0.479147677390774
"2",2,0.448005037638023,0.669331784422362,0.527949592756164,11.6136245208451,0.0659747774212222,1.3388954911354,0.277166250583949
"3",3,0.43779655135618,0.661661961545456,0.529273271296851,10.6353668495675,-0.113468220268299,-2.15662483223159,0.303987450368654
"4",4,0.418541763242342,0.646948037513324,0.522666578937554,10.3146617815304,-0.195092704701648,-3.71703138851008,0.421123763109558
"5",5,0.352103006927805,0.593382681688474,0.461949572364298,9.64936641070312,0.169148950102809,3.28160076505004,0.299056537880526
"6",6,0.734404750895699,0.856974183330921,0.67260188672241,14.3735358043199,-0.0627808676249094,-1.27727339527163,0.00158000612571728
"7",7,0.394604798586784,0.62817577045504,0.494042173721301,9.97392472872322,-0.1123651542042,-2.15843894570823,0.45217233654903
"8",8,0.449118448726753,0.670163001609872,0.523102693236191,11.5177575891816,0.027080746863902,0.548856683612417,0.327202839252073
"9",9,0.663934190734345,0.814821569875482,0.614187662492738,14.8932559770682,0.262029844080907,5.57562342918009,0.320356168179742
"10",10,0.324461044677316,0.56961482132869,0.459871665240845,9.23311255935392,-0.152890155303412,-3.00288731594731,0.514697211757726
