"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.30747035704385,0.55450009652285,0.424510877565203,8.84661239787386,0.0264483257186702,0.518232012267831,0.553719558259719,100
"2",2,0.579527589676989,0.761267094833994,0.597756724877295,13.2411068817469,0.197097234491022,3.99990130910846,0.26030966433569,100
"3",3,0.613557523800197,0.783299127919977,0.639590568042754,12.621476225794,-0.149765423497541,-2.84650477958289,0.207401863009392,100
"4",4,0.383324123630833,0.619131749816494,0.498682919598694,9.85007343156263,-0.184090792018981,-3.50741588885488,0.522477284170472,100
"5",5,0.37050279865553,0.608689410664856,0.485950621015979,10.0945498192725,0.239380235731171,4.64413384910644,0.389473542577047,100
"6",6,1.71240745794017,1.30858987384901,0.96263161445469,18.8801639787309,-0.593190091891353,-12.0684207048286,-0.0745855677155273,100
"7",7,0.453227689481825,0.673221872403018,0.53917780673079,10.7513772885428,-0.151235524545111,-2.90510566611745,0.417927690039166,100
"8",8,0.510640191218548,0.714590925787998,0.565466621445823,12.154163188366,0.103949841199652,2.10679437275526,0.472121242526992,100
"9",9,0.763960686030873,0.874048446043395,0.66480107436715,15.309175602853,0.0308055104115058,0.655497568228177,0.260419510179625,100
"10",10,0.519877931218876,0.721025610653932,0.569876917254806,11.4421132850125,-0.122996457897062,-2.41575072373082,0.209465113935387,100
