"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.353914216203195,0.594906897088271,0.472429361697618,9.57581010056513,-0.0670476111188505,-1.31373981088508,0.485816641274441,25.0485
"2",2,0.46901615675894,0.684847542712201,0.542125778341102,12.0115352731124,0.116890610566626,2.37218400062955,0.317473029310946,21.676
"3",3,0.373732450013699,0.611336609417185,0.473311048973222,9.43538202941853,-0.0710040106857266,-1.34953216214017,0.426538174826892,27.534
"4",4,0.366175298520987,0.60512420090506,0.492778556931615,9.73208990710739,-0.182534925039528,-3.47777251286182,0.543275934653669,23.6559
"5",5,0.352731808629053,0.593912290350228,0.462774377212479,9.597332742641,0.164998123586922,3.20107200349493,0.324452607309095,26.6667
"6",6,0.664863456591078,0.815391597081475,0.649176425117942,13.5953057706153,-0.132611326692084,-2.69797035153219,0.0945622481646199,17.8445
"7",7,0.33123116874104,0.575526861876177,0.438033720691321,8.88054410514739,-0.0561222771977566,-1.07806116303041,0.520436007497234,28.3557
"8",8,0.422822914959527,0.650248348678816,0.523699678497223,11.3204763823147,-0.0441126041657891,-0.894048371325225,0.383163431167627,24.3733
"9",9,0.501119124246216,0.707897679220815,0.540593801106671,12.8163744911269,0.157375393863261,3.34872516631925,0.48789661855725,24.6631
"10",10,0.308114119663076,0.555080282178241,0.441514668727837,8.94172731715615,-0.106309184644106,-2.08799907033232,0.510593174811079,28.8316
