"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.300719381609307,0.548378866851474,0.431573943572347,8.84705988606488,-0.0245251995767644,-0.480550022830549,0.569475206766763,96.1165
"2",2,0.431803006287722,0.657117193724013,0.515366429750775,11.488865876622,0.136703402161703,2.77426580174103,0.397455031897015,94.6369
"3",3,0.383580448103561,0.619338718395323,0.483489841603119,9.70086802306676,-0.076106307524984,-1.44650856697794,0.404822569973868,92.1331
"4",4,0.377115464143632,0.614097275798902,0.50511965749714,10.0777774873557,-0.146726891288317,-2.79553487810441,0.498769776682007,94.2652
"5",5,0.309575469963595,0.556395066444334,0.431600955805696,8.90390081935089,0.104130087716711,2.02019211652329,0.438966104455986,94.6667
"6",6,0.60187195893651,0.775804072518642,0.621933401067304,13.2274150448404,-0.0629291607435986,-1.28029041084292,0.14719192527793,85.689
"7",7,0.33469568944623,0.578528901133063,0.443187245747164,8.92628703817446,-0.101652218476615,-1.95265257126633,0.545082037542837,95.4698
"8",8,0.413382996073517,0.642948672969714,0.517080097749476,11.16018426289,-0.0575584970839001,-1.16656183752801,0.407172403642416,94.0111
"9",9,0.56268903481975,0.750126012627045,0.579323297673761,13.7397620372898,0.17452836580081,3.71371608004715,0.380614330097933,90.9704
"10",10,0.330293835807439,0.574711958991145,0.455197418520501,9.1374253626822,-0.128793213236568,-2.52960372524101,0.456022267916313,96.5099
