"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR"
"1",1,0.313088633137766,0.55954323616479,0.443032778120362,8.92547553399064,-0.0853977877911842,-1.67329561352936,0.547644761648316
"2",2,0.473380382755708,0.688026440448119,0.53987207203365,11.9304130108305,0.110896452082875,2.25053824325466,0.33713625269018
"3",3,0.427917441337462,0.654153989009821,0.505169202311133,9.96524211708289,-0.126487407449608,-2.40407299264418,0.377535730822159
"4",4,0.397355813490226,0.63036165293443,0.514920235445207,10.1552112883678,-0.189919817045175,-3.61847421376717,0.488648469667913
"5",5,0.380423489310776,0.616784799837655,0.486307689776622,9.93001330697828,0.082135827255425,1.59348901305977,0.260986628210482
"6",6,0.664922705341416,0.815427927741879,0.65243766985906,13.8110139704916,-0.0900979540719967,-1.83303805853913,0.138362249594139
"7",7,0.393122250268447,0.626994617415849,0.486212159045638,9.71196380249157,-0.143654455865324,-2.75947979122385,0.458159611163784
"8",8,0.535819827340882,0.731997149817458,0.603079261852297,12.743944789161,-0.156675690253114,-3.17541093630754,0.262899444075195
"9",9,0.591036373877087,0.768788900724436,0.596685884144078,13.9995002856804,0.150781953763714,3.20842611287794,0.33669407493691
"10",10,0.414765990090503,0.644023283810844,0.509395559536582,10.2197934649697,-0.152198296685389,-2.98929864855164,0.322114236072635
