"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR"
"1",1,0.300719381609307,0.548378866851474,0.431573943572347,8.84705988606488,-0.0245251995767644,-0.480550022830549,0.569475206766763
"2",2,0.431781670766908,0.657100959341034,0.515642839597827,11.4973102447569,0.138342568104947,2.8075311188276,0.397897468462343
"3",3,0.384775118746145,0.620302441351108,0.48360828370264,9.70266975650559,-0.0793212209403493,-1.50761256674684,0.404401495504132
"4",4,0.380055356743334,0.616486298909663,0.506464657199251,10.1174447514759,-0.141577378181712,-2.69742305028355,0.487368352947569
"5",5,0.308217423516234,0.555173327453899,0.430466608910156,8.88964702845262,0.106246529776037,2.06125248300412,0.445910519385848
"6",6,0.602910441031092,0.776473078110949,0.622439819878183,13.2520871306378,-0.0630203799432232,-1.28214626058228,0.151664638438454
"7",7,0.33735287102642,0.580820859668814,0.444586212189855,8.95962990233445,-0.0984454069027968,-1.89105245118018,0.537307017635819
"8",8,0.414996631922014,0.644202322195453,0.518777287520992,11.1900579865244,-0.057797668517072,-1.17140922376463,0.401905078537147
"9",9,0.556858348223365,0.746229420636418,0.577828476453166,13.7142310110616,0.173743415867118,3.69701345880039,0.39160525511009
"10",10,0.328316107054781,0.572988749501053,0.454491658705376,9.12513959213402,-0.128162762754282,-2.51722116370307,0.455078378832903
