"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.336112918461083,0.579752463091864,0.454349769366089,9.34398376451612,-0.0360973919802367,-0.707297100108433,0.517621667467325,8.932
"2",2,0.4381119861605,0.661900284152001,0.519628285276348,11.5202320085256,0.093234009975052,1.89209574409137,0.323038892182702,7.933
"3",3,0.439223467568308,0.662739366243102,0.531746188867944,10.6538015184601,-0.131004433111924,-2.48992548674468,0.302559520111408,6.2027
"4",4,0.416158619314223,0.645103572548024,0.522773030852345,10.3623687937481,-0.17840006181228,-3.39899244557854,0.462249360334633,6.4516
"5",5,0.332386645189793,0.576529830268819,0.449993731843992,9.28809109033061,0.0843067450361216,1.63560624432644,0.294594430250033,8.5714
"6",6,0.715787504280404,0.846042259157546,0.665033081448738,14.2910903277591,-0.0477874034988026,-0.972232169246306,0.000637885944656365,5.3004
"7",7,0.408530254581285,0.639163715006793,0.507979135840431,10.1953942238747,-0.137808494570053,-2.64718385193393,0.420519070485323,7.047
"8",8,0.445930010361835,0.667779911618967,0.519779642990526,11.5038962062703,0.0378880087364083,0.767891924408581,0.315980972556833,6.6852
"9",9,0.618962223186323,0.786741522475027,0.603782624031651,14.7045963441774,0.282422125400802,6.00954225205482,0.359425180369018,7.1429
"10",10,0.321234698692633,0.56677570404229,0.456023621624597,9.18987663332486,-0.134602598074759,-2.6437047804034,0.521542179160303,7.739
