"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR"
"1",1,0.373267483320095,0.6109562040933,0.459831924455037,9.78297885615555,0.148609031049773,2.91186512224973,0.459048483196441
"2",2,0.598209510419824,0.773440049661138,0.600922425780692,13.3774133786308,0.226459813198041,4.59578697595862,0.262674300098564
"3",3,0.548680493110982,0.740729703138049,0.612717430240198,11.8104356306597,-0.335379637849147,-6.37436679186536,0.320127848912483
"4",4,0.468027543144655,0.684125385543217,0.553631162385736,10.7561041268075,-0.285776309946263,-5.44479362151092,0.431628642380393
"5",5,0.47510761210171,0.689280503207301,0.559131877816776,11.5577592464243,0.418659927040585,8.12227764959307,0.492277992958588
"6",6,2.23272851456702,1.49423174727584,1.10654227340554,21.5409064694591,-0.787437150255453,-16.0203667218951,-0.058222338906759
"7",7,0.413567345234992,0.643092019259291,0.509613357487818,10.2648318990412,-0.0974980673810608,-1.87285486552291,0.4375123433568
"8",8,0.530878997417482,0.728614436734191,0.580505839494027,12.3744352519413,0.0465356357769375,0.943156953930665,0.411391567588733
"9",9,0.855158500072779,0.924747803497137,0.707841776211329,16.2080973399312,-0.00757726440908646,-0.161233439330483,0.182287977565887
"10",10,0.447275140104823,0.668786318718335,0.523018437600938,10.2648874130146,-0.23688007326274,-4.65251778958379,0.369503434716845
