"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR"
"1",1,0.302198400522132,0.549725750281112,0.419318597407058,8.74844998605738,0.0286446467347114,0.561267018409096,0.567866468245657
"2",2,0.565049898933183,0.751698010462435,0.590080550433443,13.0962216276766,0.186405167104097,3.78291594932664,0.259145461538821
"3",3,0.646320858883145,0.803940830461512,0.649343126260992,12.9039895278222,-0.086030715718392,-1.63513605319829,0.193950436721943
"4",4,0.373713418485499,0.611321043712303,0.493145375230492,9.74875625212143,-0.184060484830699,-3.50683845685754,0.537927092573425
"5",5,0.401893345633523,0.633950586113399,0.510448466106095,10.5412063904722,0.231555312482042,4.49232519699719,0.304464904403861
"6",6,1.80679334004196,1.34417013061664,0.978208179451141,19.1066353928785,-0.627025997627312,-12.7568103980018,-0.0707412435205594
"7",7,0.450528617764422,0.671214286025276,0.535503843652165,10.6881330315814,-0.152758207224268,-2.93435510398743,0.411256293934083
"8",8,0.531340619352233,0.728931148567705,0.577892123697533,12.3944601790911,0.118463152942418,2.40094165722273,0.475732926228453
"9",9,0.800879657171219,0.894918799205391,0.681762347998914,15.6680695776513,0.0214538384647186,0.456507253245533,0.233767819417101
"10",10,0.523479544001819,0.723518862229465,0.579335635828032,11.677672012097,-0.0725714278460755,-1.42536201723842,0.207560626613055
