"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.303242631657173,0.550674705844723,0.432624920387508,8.87337014138042,-0.0220182368989814,-0.431428262647797,0.566235898005549,95.9223
"2",2,0.437281086381494,0.661272323919196,0.518944284417274,11.5675985685306,0.139537312082169,2.8317773139144,0.383615475531377,94.5251
"3",3,0.384376127371016,0.619980747580936,0.483713595119601,9.70285961197757,-0.0796520918741943,-1.51390123920955,0.401612386137819,91.9818
"4",4,0.382406891967864,0.618390565878769,0.50821263091456,10.1372212930455,-0.151155165788071,-2.87990520521479,0.489502295226179,94.4444
"5",5,0.308437704300238,0.555371681219197,0.431030176360342,8.89998686239427,0.106011123421532,2.05668544506168,0.435878873139803,95.2381
"6",6,0.606253251233008,0.778622662933085,0.622573153102885,13.2570395395098,-0.0628581024098803,-1.27884473284253,0.14603150693964,84.9823
"7",7,0.339405296927415,0.582585012618257,0.445988036095391,8.97119781153448,-0.10577846831653,-2.03191431764377,0.537235995287968,95.302
"8",8,0.417665904276537,0.646270766998274,0.521113700581005,11.2352779435997,-0.0620424936175388,-1.25744084759191,0.399659220376068,93.8719
"9",9,0.557637029911569,0.746750982531372,0.577132728081743,13.7102833110872,0.177284092069957,3.77235402644045,0.38820706591298,91.6442
"10",10,0.32295491385618,0.568291222751311,0.44980508743953,9.02597991805112,-0.129382803031482,-2.54118374956138,0.466993683918288,96.6616
