...1,X.3,X.2,site_code,X.1,X,sample_id,sample_collection_date_time,Week_date,ammonia_mg_l,ophosph_mg_l,GI_ND,GI_lower_LOQ,GII_ND,GII_lower_LOQ,GI_per_litre,GII_per_litre,Log10_GI,Log10_GII,Log10_NoV,Log10_GI_norm,Log10_GII_norm,Log10_NoV_norm,site_name,site_type,water_company_name,catchment_population_ons_mid_2019,grab_compo_ind,region,collection_date,week_beginning,avg_Log10_NoV,date,imd,bame,school_den,carehome_den,prop_agri,prop_urb,mob_7day,temp_2,temp_3,temp_1,temp_4,temp_5,rain_1,rain_2,rain_3,rain_4,rain_5,lockdown_NA,lockdown_step3,lockdown_step4,lockdown_planB,lockdown_lifting,lockdown_planA,scale_school_den,scale_carehome_den,scale_imd,scale_bame,scale_mob_7day,scale_prop_agri,scale_prop_urb,row_id,Easting,Northing,fold.x,stacked_pred,fold.y,Bias,week,ci_lower,ci_upper
89,95,95,UKENNW_UU_TP000116,1970,1976,2106721-07,30/05/2021 09:00,27/05/2021,19,3.4000000950000002,FALSE,FALSE,FALSE,FALSE,23906.95955,46538.31937,4.378524347,4.667810696,4.847851893,4.070137856,4.359424205,4.539465403,STOCKPORT STW,SEWAGE TREATMENT PLANT,United Utilities Water,157180,Composite,North West,2021-05-30,2021-05-24,4.539465403,2021-05-30,28.9304428348132,0.141661557254682,84.6163634050134,20.358824277898,0.0094511812205119,0.759224889447561,-29.5935016535236,2,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,0.323633782358279,-0.567510192110271,0.82378580820078,0.00475404434784746,-0.587089731608114,-0.985577219374329,0.660924393209753,11,386519,389821,8,3.9108999603804793,8,0.6285654426195211,1,3.1014678630121333,4.836073028377314
97,103,103,UKENSO_SW_TP000016,2152,2158,2106084-47,30/05/2021 06:52,27/05/2021,36,3.0999999049999998,FALSE,FALSE,FALSE,FALSE,46732.70443,13438.2423,4.669620914,4.128342467,4.779386845,4.446112326,3.904833879,4.555878257,SANDOWN VENTNORBEMBRIDGE STW,SEWAGE TREATMENT PLANT,Southern Water,122556,Composite,South East,2021-05-30,2021-05-24,4.555878257,2021-05-30,23.4817316053389,0.0283790962007076,65.2762818629851,54.66888606025,0.225794518933006,0.681747261284531,-8.57142857142857,1,2,1,1,1,1,2,1,1,1,0,1,0,0,0,0,-0.535273980235139,2.06636105983226,0.0966349820772637,-0.963966117161632,1.65732778693548,0.6963421063195,0.248334361946646,12,460200,85191,5,4.2229291967718305,5,0.3329490602281693,1,3.1014678630121333,4.836073028377314
104,110,110,UKENSO_SW_TP000083,2298,2304,2106085-45,28/05/2021 08:45,27/05/2021,44,3.5,FALSE,TRUE,FALSE,FALSE,1140,3563.681569,3.056904851,3.551898891,3.672437913,2.904554296,3.399548336,3.520087358,WORTHING STW,SEWAGE TREATMENT PLANT,Southern Water,139260,Composite,South East,2021-05-28,2021-05-24,3.520087358,2021-05-28,18.0052118525492,0.0717930645734127,55.2922590837283,58.8826655177366,0.0689229409010362,0.868833814953833,-18.4699559845629,1,2,1,1,1,2,1,1,1,1,0,1,0,0,0,0,-0.978672041839891,2.38983913007021,-0.634226995151616,-0.592717240129058,0.600513444835944,-0.523225556515999,1.24462256613508,13,517007,103642,10,4.4163856007009095,10,-0.8962982427009094,1,3.1014678630121333,4.836073028377314
106,112,112,UKENSO_SW_TP000091,2348,2354,2106083-44,28/05/2021 11:40,27/05/2021,49,4,FALSE,FALSE,FALSE,FALSE,28303.17296,191294.7813,4.451835125,5.281703122,5.34162829,4.187090615,5.016958612,5.076883779,EAST HASTINGS BEXHILL STW,SEWAGE TREATMENT PLANT,Southern Water,137975,Composite,South East,2021-05-28,2021-05-24,5.076883779,2021-05-28,29.9573256823304,0.0640670156662076,70.3025910491031,78.999818807755,0.0633120027423713,0.89013509557226,-16.7065222409848,1,2,1,1,1,2,1,1,1,1,0,1,0,0,0,0,-0.312051758148345,3.93416720670325,0.960827152374977,-0.658785537688835,0.788786103361168,-0.566846707156066,1.35805784086765,14,576559,109381,7,4.271443353511023,7,0.8054404254889773,1,3.1014678630121333,4.836073028377314
113,119,119,UKENSW_SWS_TP000058,2484,2490,2106474-28,30/05/2021 09:45,27/05/2021,20,2.0999999049999998,FALSE,FALSE,FALSE,FALSE,13060.88508,25093.60943,4.115972608,4.399563134,4.581545704,4.025972267,4.309562793,4.491545363,PLYMOUTH CENTRAL STW,SEWAGE TREATMENT PLANT,South West Water,106232,Grab,South West,2021-05-30,2021-05-24,4.491545363,2021-05-30,24.0892087449933,0.0586754184656542,11.2960313276602,3.76534377588674,0,0.383226955064945,-14.4285714285714,1,2,1,1,1,1,2,1,1,1,0,1,0,0,0,0,-2.9325780510982,-1.84133743092908,0.177705071011572,-0.704891076554429,1.03199107604846,-1.05905359499787,-1.34136972936397,15,249776,54024,7,4.56045487682175,7,-0.06890951382175015,1,3.1014678630121333,4.836073028377314
115,121,121,UKENSW_SWS_TP000064,2527,2533,2107065-08,30/05/2021 11:40,27/05/2021,33,3.700000048,FALSE,FALSE,FALSE,TRUE,50582.75449,1630,4.704002475,3.212187604,4.717776605,5.377536709,3.885721838,5.391310839,SIDMOUTH STW,SEWAGE TREATMENT PLANT,South West Water,13951,Grab,South West,2021-05-30,2021-05-24,5.391310839,2021-05-30,10.6677378286622,0.0223602730333719,71.6794495018278,64.511504551645,0.609529383360552,0.0625141160452482,-12.8571428571429,2,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,-0.250904424799843,2.82194669686127,-1.61344025741217,-1.01543529691383,1.19976433994498,3.67961439585448,-3.04925526245205,16,313655,90455,1,5.061578788740955,1,0.32973205025904484,1,3.1014678630121333,4.836073028377314
123,129,129,UKENTH_TWU_TP000010,2697,2703,2106476-12,30/05/2021 09:30,27/05/2021,45,3.0999999049999998,TRUE,TRUE,FALSE,FALSE,950,3441.083583,2.977723605,3.536695222,3.642571704,3.02796271,3.586934326,3.692810809,AYLESBURY RABANS LANE AYLESBU STW,SEWAGE TREATMENT PLANT,Thames Water,112852,Grab,South East,2021-05-30,2021-05-24,3.692810809,2021-05-30,12.1653451415248,0.229978834703508,59.3697940665651,22.1529082337929,0.146903843041515,0.73576187086462,-24.3711515423361,2,1,1,1,1,2,1,1,1,1,0,1,0,0,0,0,-0.797585605291317,-0.429784233323642,-1.41357897849802,0.759987700805407,-0.0295265440126691,0.0830218450998999,0.535977259434667,17,478989,214851,5,3.504394276118447,5,0.18841653288155324,1,3.1014678630121333,4.836073028377314
130,136,136,UKENTH_TWU_TP000052,2858,2865,2106485-18,30/05/2021 08:00,27/05/2021,38,4.699999809,FALSE,FALSE,FALSE,FALSE,7454.197676,11902.85102,3.872400905,4.075650998,4.286839143,2.561703733,2.764953825,2.97614197,LONDON Crossness STW,SEWAGE TREATMENT PLANT,Thames Water,1826532,Composite,London,2021-05-30,2021-05-24,2.97614197,2021-05-30,22.6692454138738,0.378634845937522,61.2636406041613,13.2491519447784,0,0.894834363474475,-35.1411775430331,2,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,-0.713478437037287,-1.11329648907832,-0.0117943290856989,2.03120015392607,-1.17938626225914,-1.05905359499787,1.38308275627431,18,549086,180831,3,3.192082268098516,3,-0.2159402980985159,1,3.1014678630121333,4.836073028377314
132,138,138,UKENTH_TWU_TP000073,2907,2914,2105797-38,30/05/2021 10:00,27/05/2021,46,3.5999999049999998,FALSE,FALSE,FALSE,FALSE,3387.54443,20655.4064,3.529885,4.315033744,4.380987768,3.447214882,4.232363626,4.29831765,GUILDFORD GUILDFORD SURREY STW,SEWAGE TREATMENT PLANT,Thames Water,83275,Grab,South East,2021-05-30,2021-05-24,4.29831765,2021-05-30,9.01242140523192,0.134838460484368,84.0588411888322,12.0084058841189,0.143623766359773,0.775603646549655,-27.8408733343657,2,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,0.298873795785539,-1.20854450701727,-1.83434840506405,-0.0535927760146103,-0.39997071210646,0.0575215250109539,0.748145853972389,19,500299,151601,8,3.912485697221481,8,0.3858319527785192,1,3.1014678630121333,4.836073028377314
147,153,153,UKENAN_AW_TP000016,6,7,2106009-47,31/05/2021 10:05,27/05/2021,39,3.0999999049999998,FALSE,TRUE,FALSE,TRUE,1140,1630,3.056904851,3.212187604,3.442479769,2.781141677,2.93642443,3.166716595,BEDFORD STW,SEWAGE TREATMENT PLANT,Anglian Water,151259,Grab,East of England,2021-05-31,2021-05-31,3.166716595,2021-05-31,17.5157478644154,0.235955303850596,82.6397106949008,46.9393556747036,0.146223724952025,0.451289326046554,-28.2673185756963,2,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,0.235849128866638,1.47299028706441,-0.699547789067784,0.811094695688446,-0.445500054840849,0.0777343989018232,-0.978918574921646,20,508487,249332,7,3.7399521353919507,7,-0.5732355403919507,2,3.287303712257325,4.73540922930645
