"X","site_code","dailyrain","date","X.1","rain_rolling_7day","weekday"
397,"UKENAN_AW_TP000023",6.11e-07,"2021-06-28",NA,2.69998571428571e-05,"Mon"
404,"UKENAN_AW_TP000023",0.000115873,"2021-07-05",NA,0.00126109385714286,"Mon"
411,"UKENAN_AW_TP000023",8.99e-05,"2021-07-12",NA,0.000959843285714286,"Mon"
418,"UKENAN_AW_TP000023",0.000363199,"2021-07-19",NA,0.00114287785714286,"Mon"
425,"UKENAN_AW_TP000023",0.000100858,"2021-07-26",NA,0.00109187128571429,"Mon"
432,"UKENAN_AW_TP000023",0.000799218,"2021-08-02",NA,0.000929691857142857,"Mon"
439,"UKENAN_AW_TP000023",0.011323076,"2021-08-09",NA,0.00270456271428571,"Mon"
446,"UKENAN_AW_TP000023",0.001300617,"2021-08-16",NA,0.00121368385714286,"Mon"
453,"UKENAN_AW_TP000023",0.000744331,"2021-08-23",NA,0.002227805,"Mon"
460,"UKENAN_AW_TP000023",1.57e-05,"2021-08-30",NA,0.000556712157142857,"Mon"
467,"UKENAN_AW_TP000023",0.003790519,"2021-09-06",NA,0.00183717814285714,"Mon"
474,"UKENAN_AW_TP000023",0.002098578,"2021-09-13",NA,0.000612136428571429,"Mon"
481,"UKENAN_AW_TP000023",7.16e-05,"2021-09-20",NA,7.72445714285718e-05,"Mon"
488,"UKENAN_AW_TP000023",0.006986442,"2021-09-27",NA,0.00199005714285714,"Mon"
495,"UKENAN_AW_TP000023",0.000417242,"2021-10-04",NA,0.000937161428571429,"Mon"
502,"UKENAN_AW_TP000023",0.00031596,"2021-10-11",NA,0.000807695,"Mon"
509,"UKENAN_AW_TP000023",2.03e-05,"2021-10-18",NA,0.000265857142857143,"Mon"
516,"UKENAN_AW_TP000023",0.000117495,"2021-10-25",NA,0.000130653857142858,"Mon"
523,"UKENAN_AW_TP000023",2.07e-05,"2021-11-01",NA,0.000342519285714286,"Mon"
530,"UKENAN_AW_TP000023",0.002897551,"2021-11-08",NA,0.00268021285714286,"Mon"
537,"UKENAN_AW_TP000023",0.000128286,"2021-11-15",NA,0.000724611785714286,"Mon"
544,"UKENAN_AW_TP000023",0.00033282,"2021-11-22",NA,0.000281568428571429,"Mon"
551,"UKENAN_AW_TP000023",0.006232513,"2021-11-29",NA,0.00259523457142857,"Mon"
558,"UKENAN_AW_TP000023",0.001028804,"2021-12-06",NA,0.000278692428571429,"Mon"
565,"UKENAN_AW_TP000023",1.68e-05,"2021-12-13",NA,1.27107142857147e-05,"Mon"
572,"UKENAN_AW_TP000023",0.012012237,"2021-12-20",NA,0.00292182614285714,"Mon"
579,"UKENAN_AW_TP000023",0.001761026,"2021-12-27",NA,0.001355577,"Mon"
586,"UKENAN_AW_TP000023",0.000132129,"2022-01-03",NA,0.000786215714285715,"Mon"
593,"UKENAN_AW_TP000023",3.34e-05,"2022-01-10",NA,0.000238740857142858,"Mon"
600,"UKENAN_AW_TP000023",4.79e-05,"2022-01-17",NA,4.33071428571433e-05,"Mon"
607,"UKENAN_AW_TP000023",2.86e-06,"2022-01-24",NA,0.000330212857142858,"Mon"
614,"UKENAN_AW_TP000023",0.000535212,"2022-01-31",NA,0.00164338314285714,"Mon"
621,"UKENAN_AW_TP000023",6.69e-05,"2022-02-07",NA,0.00118457771428571,"Mon"
628,"UKENAN_AW_TP000023",7.91e-06,"2022-02-14",NA,0.000497984714285715,"Mon"
635,"UKENAN_AW_TP000023",0.001540399,"2022-02-21",NA,0.00183882142857143,"Mon"
642,"UKENAN_AW_TP000023",5.8e-06,"2022-02-28",NA,0.00110696457142857,"Mon"
649,"UKENAN_AW_TP000023",0.000491683,"2022-03-07",NA,0.000205408142857143,"Mon"
656,"UKENAN_AW_TP000023",0.000453775,"2022-03-14",NA,0.00280509465714286,"Mon"
663,"UKENAN_AW_TP000023",0.000151781,"2022-03-21",NA,0.000676596857142857,"Mon"
670,"UKENAN_AW_TP000023",7.53e-05,"2022-03-28",NA,0.000892863571428572,"Mon"
679,"UKENAN_AW_TP000037",0.00062644,"2021-05-03",NA,NA,"Mon"
686,"UKENAN_AW_TP000037",7.58e-05,"2021-05-10",NA,0.000648970571428572,"Mon"
693,"UKENAN_AW_TP000037",0.000709947,"2021-05-17",NA,0.000990536428571429,"Mon"
700,"UKENAN_AW_TP000037",7.81e-07,"2021-05-24",NA,1.33637571428573e-05,"Mon"
707,"UKENAN_AW_TP000037",0.001046994,"2021-05-31",NA,0.00103012914285714,"Mon"
714,"UKENAN_AW_TP000037",0.000136498,"2021-06-07",NA,0.000939962285714286,"Mon"
721,"UKENAN_AW_TP000037",2.87e-07,"2021-06-14",NA,0.000172857857142857,"Mon"
728,"UKENAN_AW_TP000037",5.57e-07,"2021-06-21",NA,2.51721428571431e-05,"Mon"
735,"UKENAN_AW_TP000037",4.14e-06,"2021-06-28",NA,4.71241428571431e-05,"Mon"
742,"UKENAN_AW_TP000037",0.000123348,"2021-07-05",NA,0.000922401571428572,"Mon"
749,"UKENAN_AW_TP000037",7.94e-05,"2021-07-12",NA,0.001357684,"Mon"
756,"UKENAN_AW_TP000037",0.000239258,"2021-07-19",NA,0.00101276371428571,"Mon"
763,"UKENAN_AW_TP000037",0.000183937,"2021-07-26",NA,0.000826861571428572,"Mon"
