"site_code","date","weighted_mobility"
"UKENAN_AW_TP000023","2022-01-24",-2.57090420138727
"UKENAN_AW_TP000023","2022-01-31",-2.56504514195223
"UKENAN_AW_TP000023","2022-02-07",-2.28443287524016
"UKENAN_AW_TP000023","2022-02-14",-10.1459763495243
"UKENAN_AW_TP000023","2022-02-21",-4.86028229601796
"UKENAN_AW_TP000023","2022-02-28",-1.41561742169512
"UKENAN_AW_TP000023","2022-03-07",0.287661691685428
"UKENAN_AW_TP000023","2022-03-14",-1.27430470801558
"UKENAN_AW_TP000023","2022-03-21",0.0106019567459792
"UKENAN_AW_TP000023","2022-03-28",-2.3996757175034
"UKENAN_AW_TP000023","2022-04-04",-7.12492756827837
"UKENAN_AW_TP000023","2022-04-11",-7.26204704494822
"UKENAN_AW_TP000023","2022-04-18",-16.6724865768613
"UKENAN_AW_TP000023","2022-04-25",2.19064179101637
"UKENAN_AW_TP000037","2021-05-03",0
"UKENAN_AW_TP000037","2021-05-10",-21.5844584752076
"UKENAN_AW_TP000037","2021-05-17",-20.2316791124021
"UKENAN_AW_TP000037","2021-05-24",-19.1776614299336
"UKENAN_AW_TP000037","2021-05-31",-32.9825661234394
"UKENAN_AW_TP000037","2021-06-07",-19.9142094103993
"UKENAN_AW_TP000037","2021-06-14",-17.8235111926655
"UKENAN_AW_TP000037","2021-06-21",-18.9448622879511
"UKENAN_AW_TP000037","2021-06-28",-20.1166588565613
"UKENAN_AW_TP000037","2021-07-05",-19.6422634802173
"UKENAN_AW_TP000037","2021-07-12",-19.9140637609814
"UKENAN_AW_TP000037","2021-07-19",-25.3890990178128
"UKENAN_AW_TP000037","2021-07-26",-28.9031714286712
"UKENAN_AW_TP000037","2021-08-02",-30.2622507386822
"UKENAN_AW_TP000037","2021-08-09",-29.9422055116165
"UKENAN_AW_TP000037","2021-08-16",-28.692891498343
"UKENAN_AW_TP000037","2021-08-23",-28.2199041894909
"UKENAN_AW_TP000037","2021-08-30",-32.4393216202023
"UKENAN_AW_TP000037","2021-09-06",-20.3527924304551
"UKENAN_AW_TP000037","2021-09-13",-20.1343106167739
"UKENAN_AW_TP000037","2021-09-20",-21.3511719766155
"UKENAN_AW_TP000037","2021-09-27",-22.0437568565636
"UKENAN_AW_TP000037","2021-10-04",-21.8130864534442
"UKENAN_AW_TP000037","2021-10-11",-20.5173031108506
"UKENAN_AW_TP000037","2021-10-18",-21.3513726506262
"UKENAN_AW_TP000037","2021-10-25",-27.8202870076023
"UKENAN_AW_TP000037","2021-11-01",-22.465789910855
"UKENAN_AW_TP000037","2021-11-08",-19.70291847063
"UKENAN_AW_TP000037","2021-11-15",-19.3094306242808
"UKENAN_AW_TP000037","2021-11-22",-19.7572744549095
"UKENAN_AW_TP000037","2021-11-29",-20.128265695452
"UKENAN_AW_TP000037","2021-12-06",-18.9322965081687
"UKENAN_AW_TP000037","2021-12-13",-18.3331778300776
"UKENAN_AW_TP000037","2021-12-20",-26.454486978575
"UKENAN_AW_TP000037","2021-12-27",-65.0310394229762
"UKENAN_AW_TP000037","2022-01-03",-43.1700936826498
"UKENAN_AW_TP000037","2022-01-10",-20.7872179496234
"UKENAN_AW_TP000037","2022-01-17",-20.1863688345041
"UKENAN_AW_TP000037","2022-01-24",-20.051594933165
"UKENAN_AW_TP000037","2022-01-31",-19.6658318268646
"UKENAN_AW_TP000037","2022-02-07",-18.797500069942
"UKENAN_AW_TP000037","2022-02-14",-25.7931571188914
"UKENAN_AW_TP000037","2022-02-21",-21.5434455774802
"UKENAN_AW_TP000037","2022-02-28",-18.3360029778977
"UKENAN_AW_TP000037","2022-03-07",-18.6495489730947
"UKENAN_AW_TP000037","2022-03-14",-19.4101444227448
"UKENAN_AW_TP000037","2022-03-21",-19.8940227792872
"UKENAN_AW_TP000037","2022-03-28",-19.0501087237056
"UKENAN_AW_TP000037","2022-04-04",-23.6147689833608
"UKENAN_AW_TP000037","2022-04-11",-25.2225234201138
"UKENAN_AW_TP000037","2022-04-18",-36.9909518773406
"UKENAN_AW_TP000037","2022-04-25",-16.6767164380465
"UKENAN_AW_TP000050","2021-05-03",0
"UKENAN_AW_TP000050","2021-05-10",-37.5019610102844
"UKENAN_AW_TP000050","2021-05-17",-35.8123745069522
"UKENAN_AW_TP000050","2021-05-24",-33.4246781325519
"UKENAN_AW_TP000050","2021-05-31",-39.7886829630164
"UKENAN_AW_TP000050","2021-06-07",-29.6115196830019
"UKENAN_AW_TP000050","2021-06-14",-26.3385547767757
"UKENAN_AW_TP000050","2021-06-21",-27.0001044440941
"UKENAN_AW_TP000050","2021-06-28",-27.403976661712
"UKENAN_AW_TP000050","2021-07-05",-29.7777434567747
"UKENAN_AW_TP000050","2021-07-12",-28.8997467486036
"UKENAN_AW_TP000050","2021-07-19",-28.6965821192542
"UKENAN_AW_TP000050","2021-07-26",-32.2855191139383
"UKENAN_AW_TP000050","2021-08-02",-33.2611752576615
"UKENAN_AW_TP000050","2021-08-09",-35.4394377015689
"UKENAN_AW_TP000050","2021-08-16",-35.8391727461038
"UKENAN_AW_TP000050","2021-08-23",-36.4719748680549
"UKENAN_AW_TP000050","2021-08-30",-39.3171678937324
"UKENAN_AW_TP000050","2021-09-06",-30.5156623179836
"UKENAN_AW_TP000050","2021-09-13",-31.3824199040428
"UKENAN_AW_TP000050","2021-09-20",-31.3445018231051
"UKENAN_AW_TP000050","2021-09-27",-29.7999298878407
"UKENAN_AW_TP000050","2021-10-04",-28.9439419333973
"UKENAN_AW_TP000050","2021-10-11",-28.3983927727719
"UKENAN_AW_TP000050","2021-10-18",-27.9171741359023
"UKENAN_AW_TP000050","2021-10-25",-32.3708811660608
"UKENAN_AW_TP000050","2021-11-01",-27.7583110244535
"UKENAN_AW_TP000050","2021-11-08",-23.9018788766642
"UKENAN_AW_TP000050","2021-11-15",-21.957127703519
"UKENAN_AW_TP000050","2021-11-22",-21.2194753583176
"UKENAN_AW_TP000050","2021-11-29",-21.4289981274798
"UKENAN_AW_TP000050","2021-12-06",-22.7881246338511
"UKENAN_AW_TP000050","2021-12-13",-28.0396469182273
"UKENAN_AW_TP000050","2021-12-20",-39.9095644520084
"UKENAN_AW_TP000050","2021-12-27",-66.3237847468403
"UKENAN_AW_TP000050","2022-01-03",-46.4703426721469
"UKENAN_AW_TP000050","2022-01-10",-26.62982765428
"UKENAN_AW_TP000050","2022-01-17",-26.7820330100459
"UKENAN_AW_TP000050","2022-01-24",-25.8462746951327
"UKENAN_AW_TP000050","2022-01-31",-23.2919991922828
"UKENAN_AW_TP000050","2022-02-07",-24.1990099618287
"UKENAN_AW_TP000050","2022-02-14",-28.1286435530742
"UKENAN_AW_TP000050","2022-02-21",-25.5257769790525
"UKENAN_AW_TP000050","2022-02-28",-20.7182355183052
"UKENAN_AW_TP000050","2022-03-07",-20.2807600701709
"UKENAN_AW_TP000050","2022-03-14",-18.9473352972643
"UKENAN_AW_TP000050","2022-03-21",-20.8257761987813
"UKENAN_AW_TP000050","2022-03-28",-23.2372833974432
"UKENAN_AW_TP000050","2022-04-04",-28.2418647638721
"UKENAN_AW_TP000050","2022-04-11",-29.0519190045069
"UKENAN_AW_TP000050","2022-04-18",-36.9496703998133
"UKENAN_AW_TP000050","2022-04-25",-17.7214590075461
"UKENAN_AW_TP000051","2021-05-03",0
"UKENAN_AW_TP000051","2021-05-10",-19.0738676591323
"UKENAN_AW_TP000051","2021-05-17",-17.310825839781
"UKENAN_AW_TP000051","2021-05-24",-14.7907522632005
"UKENAN_AW_TP000051","2021-05-31",-28.2520665242073
"UKENAN_AW_TP000051","2021-06-07",-15.7003230742517
"UKENAN_AW_TP000051","2021-06-14",-13.8899248222498
"UKENAN_AW_TP000051","2021-06-21",-14.0103893975568
"UKENAN_AW_TP000051","2021-06-28",-13.8431309101314
"UKENAN_AW_TP000051","2021-07-05",-13.9903309801681
"UKENAN_AW_TP000051","2021-07-12",-14.4042173480595
"UKENAN_AW_TP000051","2021-07-19",-20.3365648924577
"UKENAN_AW_TP000051","2021-07-26",-23.8271588101191
"UKENAN_AW_TP000051","2021-08-02",-25.8245241829201
"UKENAN_AW_TP000051","2021-08-09",-25.583863841461
"UKENAN_AW_TP000051","2021-08-16",-24.5417793830194
"UKENAN_AW_TP000051","2021-08-23",-24.1455747717624
"UKENAN_AW_TP000051","2021-08-30",-27.3314702844554
"UKENAN_AW_TP000051","2021-09-06",-16.8856135581694
"UKENAN_AW_TP000051","2021-09-13",-17.4366927221441
"UKENAN_AW_TP000051","2021-09-20",-17.4160043829053
"UKENAN_AW_TP000051","2021-09-27",-17.5835565734185
"UKENAN_AW_TP000051","2021-10-04",-17.7140627975516
"UKENAN_AW_TP000051","2021-10-11",-17.418379684864
"UKENAN_AW_TP000051","2021-10-18",-17.4427398707444
"UKENAN_AW_TP000051","2021-10-25",-24.027149275325
"UKENAN_AW_TP000051","2021-11-01",-18.8512610193446
"UKENAN_AW_TP000051","2021-11-08",-16.3752987842852
"UKENAN_AW_TP000051","2021-11-15",-15.8385671078985
"UKENAN_AW_TP000051","2021-11-22",-15.5204502654669
"UKENAN_AW_TP000051","2021-11-29",-15.0818344753547
"UKENAN_AW_TP000051","2021-12-06",-14.1555738911976
"UKENAN_AW_TP000051","2021-12-13",-13.6552360952991
"UKENAN_AW_TP000051","2021-12-20",-22.4886446171805
"UKENAN_AW_TP000051","2021-12-27",-55.6377443705645
"UKENAN_AW_TP000051","2022-01-03",-37.0664321353737
"UKENAN_AW_TP000051","2022-01-10",-17.4136716045942
"UKENAN_AW_TP000051","2022-01-17",-16.5832135743097
"UKENAN_AW_TP000051","2022-01-24",-16.3509386056776
"UKENAN_AW_TP000051","2022-01-31",-15.4286765877181
"UKENAN_AW_TP000051","2022-02-07",-14.962739268812
"UKENAN_AW_TP000051","2022-02-14",-22.6078887481252
"UKENAN_AW_TP000051","2022-02-21",-18.432749772584
"UKENAN_AW_TP000051","2022-02-28",-14.1199628927002
"UKENAN_AW_TP000051","2022-03-07",-14.5915564234618
"UKENAN_AW_TP000051","2022-03-14",-14.3959391829788
"UKENAN_AW_TP000051","2022-03-21",-13.6776137362456
