"site_code","prop_urb"
"UKENAN_AW_TP000016",0.451289326046554
"UKENAN_AW_TP000023",0.44278028316764
"UKENAN_AW_TP000037",0.469652264104324
"UKENAN_AW_TP000050",0.535729004445361
"UKENAN_AW_TP000051",0.608235937315321
"UKENAN_AW_TP000055",0.435855357573084
"UKENAN_AW_TP000063",0.612357017693693
"UKENAN_AW_TP000069",0.525628928221041
"UKENAN_AW_TP000082",0.272486923741571
"UKENAN_AW_TP000107",0.417050818148881
"UKENAN_AW_TP000115",0.421688203279163
"UKENAN_AW_TP000116",0.358140252500216
"UKENAN_AW_TP000144",0.577459917690183
"UKENAN_AW_TP000148",0.615104283803887
"UKENAN_AW_TP000154",0.309586586530037
"UKENAN_AW_TP000161",0.457699687222805
"UKENAN_AW_TP000170",0.598076701251869
"UKENAN_AW_TP000200",0.501019449896195
"UKENAN_AW_TP000210",0.412568134046874
"UKENAN_AW_TP000293",0.158708473889867
"UKENAN_AW_TP000303",0.511264420070582
"UKENAN_AW_TP000307",0.671563310297342
"UKENAN_AW_TP000308",0.356055848896482
"UKENMI_ST_TP000018",0.809827641679781
"UKENMI_ST_TP000036",0.756142584235456
"UKENMI_ST_TP000056",0.609457962618115
"UKENMI_ST_TP000060",0.593580793551615
"UKENMI_ST_TP000062",0.764340381386189
"UKENMI_ST_TP000068",0.686185216352544
"UKENMI_ST_TP000074",0.697851395751535
"UKENMI_ST_TP000099",0.777991377846483
"UKENMI_ST_TP000100",0.736690835016096
"UKENMI_ST_TP000120",0.784991152925661
"UKENMI_ST_TP000137",0.780747525295158
"UKENMI_ST_TP000143",0.86501971206657
"UKENMI_ST_TP000156",0.814186559797671
"UKENMI_ST_TP000163",0.750149967293488
"UKENMI_ST_TP000164",0.849140814712654
"UKENMI_ST_TP000180",0.79309663436715
"UKENMI_ST_TP000182",0.663575270370385
"UKENMI_ST_TP000184",0.642414433690171
"UKENMI_ST_TP000186",0.566019948960127
"UKENMI_ST_TP000199",0.641652821571633
"UKENMI_ST_TP000207",0.745100282391586
"UKENMI_ST_TP000208",0.672208260447716
"UKENMI_ST_TP000222",0.743663119711887
"UKENMI_ST_TP000225",0.740567287997028
"UKENMI_ST_TP000241",0.772422144588185
"UKENMI_ST_TP000256",0.836925382837203
"UKENNE_NU_TP000012",0.469853920231757
"UKENNE_NU_TP000028",0.602225168408285
"UKENNE_NU_TP000030",0.506388657736285
"UKENNE_NU_TP000031",0.489251310153148
"UKENNE_NU_TP000039",0.4125382330356
"UKENNE_NU_TP000046",0.500926927468001
"UKENNE_NU_TP000048",0.424661590816942
"UKENNE_NU_TP000051",0.462740355421528
"UKENNE_NU_TP000055",0.578703979836108
"UKENNE_YW_TP000029",0.624515425082782
"UKENNE_YW_TP000054",0.652855443940581
"UKENNE_YW_TP000057",0.657363728571001
"UKENNE_YW_TP000063",0.582203909679773
"UKENNE_YW_TP000082",0.691790419426688
"UKENNE_YW_TP000086",0.649524626565121
"UKENNE_YW_TP000094",0.507159653860369
"UKENNE_YW_TP000095",0.676162975443746
"UKENNE_YW_TP000096",0.658096123275711
"UKENNE_YW_TP000098",0.588059705596641
"UKENNE_YW_TP000102",0.7416651885693
"UKENNE_YW_TP000107",0.667097561704407
"UKENNE_YW_TP000112",0.687599642516974
"UKENNE_YW_TP000119",0.632486179895645
"UKENNE_YW_TP000141",0.611187225990631
"UKENNW_UU_TP000012",0.681724888290378
"UKENNW_UU_TP000017",0.715868091778396
"UKENNW_UU_TP000018",0.66936452876816
"UKENNW_UU_TP000019",0.794974869701692
"UKENNW_UU_TP000023",0.619149600487654
"UKENNW_UU_TP000024",0.795578255950911
"UKENNW_UU_TP000026",0.80201610434049
"UKENNW_UU_TP000027",0.746194570348663
"UKENNW_UU_TP000038",0.68483959824049
"UKENNW_UU_TP000047",0.721995708158232
"UKENNW_UU_TP000050",0.843620160382598
"UKENNW_UU_TP000067",0.830965597031057
"UKENNW_UU_TP000068",0.749117025999033
"UKENNW_UU_TP000076",0.813114116126856
"UKENNW_UU_TP000078",0.828263962326836
"UKENNW_UU_TP000084",0.740240743566816
"UKENNW_UU_TP000095",0.725003006275492
"UKENNW_UU_TP000102",0.772015586146884
"UKENNW_UU_TP000103",0.857273362586602
"UKENNW_UU_TP000110",0.723849142306121
"UKENNW_UU_TP000115",0.703612932877413
"UKENNW_UU_TP000116",0.759224889447561
"UKENNW_UU_TP000124",0.45200034908069
"UKENNW_UU_TP000133",0.719892626497091
