"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.336857738623831,0.580394468119598,0.464037812743936,9.43371447887644,-0.0220338018162256,-0.430609697704022,0.409212654370039,21.6949
"2",2,0.670266998468669,0.81869835621471,0.637451000581991,12.6453527045586,-0.1085906506192,-2.08696044054823,0.0865405486634052,17.2794
"3",3,0.347967633648579,0.589887814460156,0.459374205609219,9.60294283355156,0.0464879250441001,0.906856748257612,0.459523028061092,24.9315
"4",4,0.514550711471077,0.717321902266393,0.557932786467467,13.0218572337915,0.26819661111332,5.6493979830099,0.474768216662363,19.685
"5",5,0.542938965159403,0.736843921844649,0.578233663043285,12.6912031735869,0.139412033171117,2.78558064269613,0.352935870652698,20.3509
"6",6,0.362941958491381,0.60244664368837,0.483725617834679,9.38217034495695,-0.1241918375249,-2.37655530531252,0.422256925646756,23.6486
"7",7,0.396261647117079,0.629493166854954,0.494840684670851,10.2311866416158,0.0120401115501053,0.236530456095889,0.186516048089079,22.6027
"8",8,0.488298977758389,0.698783927804861,0.570907877291685,12.5111030222077,0.326081114131368,6.52630192404146,0.378426085664995,17.3516
"9",9,0.381535678399859,0.617685744047779,0.492683275397686,9.00971638515157,-0.296591408714757,-5.48149457225165,0.426256546203527,25.2212
"10",10,0.350116814315089,0.591706696189158,0.464622117470824,9.01991260459165,-0.0965396664603287,-1.79547939890804,0.267983210253417,27.7592
